fragment_id,fragment_version,year,month,day,sequence,inferred_page_id,marquee_id,classification,embedded_image_count,embedded_image_src_values,text_md5,text_preview,reason
"1","0","1828","1","1","3.0000","","","ORPHAN_OR_INCONSISTENT","0","","05af3511362f7c5a591105fbecd6802e","<div class=""highlights-section"" > <section> <h2>Highlights</h2> <a href=""/diaries/1828.html#1828-04-12""> <p>1828-04-12 Journey to Ireland</p> </a> <a href=""/...","fragment has no marquee"
"2","0","1828","1","1","4.0000","","","ORPHAN_OR_INCONSISTENT","0","","aa4d40031894774e0dc0d72d67165549","<div class=""intro-large""> <p>1828</p> </div> <div class=""intro-medium""> <p>A</p> <p>New Era</p> <p>in my life</p> </div> <div class=""intro-large""> <p>January...","fragment has no marquee"
"3","0","1828","1","1","5.0000","","","ORPHAN_OR_INCONSISTENT","0","","b357147d5b3cfe0ae301f1aa857f2c64","<div class=""intro-medium-right""> <p>Dockwray Square, North Shields</p> </div>","fragment has no marquee"
"84","0","1828","3","20","1.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2840-image-map-whitley-park.jpg","f8d05c41bd2932cf757a1bb0093dc887","<figure> <img src=""images/img2840-image-map-whitley-park.jpg"" width=""600px"" /> <figcaption>Whitley Park</figcaption> </figure>","fragment has no marquee"
"96","0","1828","3","31","1.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2841-image-map-commercial-hotel.jpg","ea6f050e163a6db36ed7cc5347dec453","<figure> <img src=""images/img2841-image-map-commercial-hotel.jpg"" width=""600px"" />"" <figcaption>Commercial Hotel</figcaption> </figure>","fragment has no marquee"
"114","0","1828","4","17","1.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2842-image-broomville-house.jpg","3ddd09f1c264a9366089588daf36427c","<figure> <img src=""images/img2842-image-broomville-house.jpg"" width=""600px"" /> <figcaption>Broomville House</figcaption> </figure>","fragment has no marquee"
"115","0","1828","4","17","2.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2842-image-clogrennane-house.jpg","f98158f989daba1cb776b176cb525e9b","<figure> <img src=""images/img2842-image-clogrennane-house.jpg"" width=""600px"" /> <figcaption>Clogrennane House</figcaption> </figure>","fragment has no marquee"
"116","0","1828","4","17","3.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2842-image-map-carlow.jpg","e46c98d54390d4ec24bca25d8106bc0f","<figure> <img src=""images/img2842-image-map-carlow.jpg"" width=""600px"" /> <figcaption>Map of Carlow</figcaption> </figure>","fragment has no marquee"
"117","0","1828","4","17","4.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2842-image-map-dublin.jpg","b05424f59bddc780bbb2fb37e107aa29","<figure> <img src=""images/img2842-image-map-dublin.jpg"" width=""600px"" /> <figcaption>Map of Dublin</figcaption> </figure>","fragment has no marquee"
"118","0","1828","4","17","5.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2842-image-map-tynemouth-to-carlow.jpg","727d8becc9373c36715dd8464b52673d","<figure> <img src=""images/img2842-image-map-tynemouth-to-carlow.jpg"" width=""600px"" />"" <figcaption>Map of journey from Tynemouth to Carlow</figcaption> </fig...","fragment has no marquee"
"226","0","1828","8","1","1.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2852-image-black-middens.jpg","28325f1c9f3b3d9b92080a1f7c1accc5","<figure> <img src=""images/img2852-image-black-middens.jpg"" width=""600px"" /> <figcaption>The Black Middens</figcaption> </figure>","fragment has no marquee"
"233","0","1828","8","7","1.0000","","","ORPHAN_OR_INCONSISTENT","1","images/img2852-image-hope-voyage.jpg","41ba63db77b05540e834dab028e049a4","<figure> <img src=""images/img2852-image-hope-voyage.jpg"" width=""600px"" /> <figcaption>The first voyage of 'Hope'</figcaption> </figure>","fragment has no marquee"
