date,diary,page_name,legacy_derived_sequence,count,source_keys
"1828-08-14","diary-1828-and-1829-and-jan-1830","img2853","280814.2853","2","fragments/1828/08/14-img2853-left | fragments/1828/08/14-img2853-right"
"1829-01-08","diary-1828-and-1829-and-jan-1830","img2868","290108.2868","2","fragments/1829/01/08-img2868-left | fragments/1829/01/08-img2868-right"
"1829-05-17","diary-1828-and-1829-and-jan-1830","img2882","290517.2882","2","fragments/1829/05/17-img2882-left | fragments/1829/05/17-img2882-right"
"1829-06-19","diary-1828-and-1829-and-jan-1830","img2889","290619.2889","2","fragments/1829/06/19-img2889-left | fragments/1829/06/19-img2889-right"
"1829-06-20","diary-1828-and-1829-and-jan-1830","img2890","290620.2890","2","fragments/1829/06/20-img2890-left | fragments/1829/06/20-img2890-right"
"1829-06-25","diary-1828-and-1829-and-jan-1830","img2892","290625.2892","2","fragments/1829/06/25-img2892-left | fragments/1829/06/25-img2892-right"
"1829-06-29","diary-1828-and-1829-and-jan-1830","img2894","290629.2894","2","fragments/1829/06/29-img2894-left | fragments/1829/06/29-img2894-right"
"1829-06-30","diary-1828-and-1829-and-jan-1830","img2895","290630.2895","2","fragments/1829/06/30-img2895-left | fragments/1829/06/30-img2895-right"
"1829-07-02","diary-1828-and-1829-and-jan-1830","img2896","290702.2896","2","fragments/1829/07/02-img2896-left | fragments/1829/07/02-img2896-right"
"1829-07-02","diary-1828-and-1829-and-jan-1830","img2897","290702.2897","2","fragments/1829/07/02-img2897-left | fragments/1829/07/02-img2897-right"
"1829-07-05","diary-1828-and-1829-and-jan-1830","img2899","290705.2899","2","fragments/1829/07/05-img2899-left | fragments/1829/07/05-img2899-right"
"1829-07-07","diary-1828-and-1829-and-jan-1830","img2900","290707.2900","2","fragments/1829/07/07-img2900-left | fragments/1829/07/07-img2900-right"
"1829-07-08","diary-1828-and-1829-and-jan-1830","img2901","290708.2901","2","fragments/1829/07/08-img2901-left | fragments/1829/07/08-img2901-right"
"1829-07-09","diary-1828-and-1829-and-jan-1830","img2902","290709.2902","2","fragments/1829/07/09-img2902-left | fragments/1829/07/09-img2902-right"
"1829-07-11","diary-1828-and-1829-and-jan-1830","img2903","290711.2903","2","fragments/1829/07/11-img2903-left | fragments/1829/07/11-img2903-right"
"1829-07-15","diary-1828-and-1829-and-jan-1830","img2905","290715.2905","2","fragments/1829/07/15-img2905-left | fragments/1829/07/15-img2905-right"
"1829-07-16","diary-1828-and-1829-and-jan-1830","img2906","290716.2906","2","fragments/1829/07/16-img2906-left | fragments/1829/07/16-img2906-right"
"1829-07-23","diary-1828-and-1829-and-jan-1830","img2908","290723.2908","2","fragments/1829/07/23-img2908-left | fragments/1829/07/23-img2908-right"
"1829-08-05","diary-1828-and-1829-and-jan-1830","img2911","290805.2911","2","fragments/1829/08/05-img2911-left | fragments/1829/08/05-img2911-right"
"1829-08-08","diary-1828-and-1829-and-jan-1830","img2912","290808.2912","2","fragments/1829/08/08-img2912-left | fragments/1829/08/08-img2912-right"
"1829-08-15","diary-1828-and-1829-and-jan-1830","img2914","290815.2914","2","fragments/1829/08/15-img2914-left | fragments/1829/08/15-img2914-right"
"1829-08-20","diary-1828-and-1829-and-jan-1830","img2915","290820.2915","2","fragments/1829/08/20-img2915-left | fragments/1829/08/20-img2915-right"
"1829-08-22","diary-1828-and-1829-and-jan-1830","img2916","290822.2916","2","fragments/1829/08/22-img2916-left | fragments/1829/08/22-img2916-right"
"1829-08-28","diary-1828-and-1829-and-jan-1830","img2918","290828.2918","2","fragments/1829/08/28-img2918-left | fragments/1829/08/28-img2918-right"
"1829-09-11","diary-1828-and-1829-and-jan-1830","img2921","290911.2921","2","fragments/1829/09/11-img2921-left | fragments/1829/09/11-img2921-right"
"1829-09-14","diary-1828-and-1829-and-jan-1830","img2922","290914.2922","2","fragments/1829/09/14-img2922-left | fragments/1829/09/14-img2922-right"
"1829-09-18","diary-1828-and-1829-and-jan-1830","img2923","290918.2923","2","fragments/1829/09/18-img2923-left | fragments/1829/09/18-img2923-right"
"1834-07-08","diary-1834","img2712","340708.2712","2","fragments/1834/07/08-img2712-left | fragments/1834/07/08-img2712-right"
"1834-11-13","diary-1834","img2723","341113.2723","2","fragments/1834/11/13-img2723-left | fragments/1834/11/13-img2723-right"
