database_fragment_id,date,inventory_classification,legacy_image_reference,source_key,target_fragment_type,type_basis,marquee_action,page_id,execution_stage
84,1828-03-20,ORPHAN_OR_INCONSISTENT,diary-1828-and-1829-and-jan-1830/images/img2840-image-map-whitley-park.jpg,fragments/1828/03/20-b-img2840-image-map-whitley-park,IMAGE,REVIEW_LEDGER_OVERRIDE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
96,1828-03-31,ORPHAN_OR_INCONSISTENT,images/img2841-image-map-commercial-hotel.jpg,fragments/1828/03/31-b-img2841-image-map-commercial-hotel,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
114,1828-04-17,ORPHAN_OR_INCONSISTENT,images/img2842-image-broomville-house.jpg,fragments/1828/04/17-b1-img2842-image-broomville-house,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
115,1828-04-17,ORPHAN_OR_INCONSISTENT,images/img2842-image-clogrennane-house.jpg,fragments/1828/04/17-b2-img2842-image-clogrennane-house,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
116,1828-04-17,ORPHAN_OR_INCONSISTENT,images/img2842-image-map-carlow.jpg,fragments/1828/04/17-b3-img2842-image-map-carlow,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
117,1828-04-17,ORPHAN_OR_INCONSISTENT,images/img2842-image-map-dublin.jpg,fragments/1828/04/17-b4-img2842-image-map-dublin,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
118,1828-04-17,ORPHAN_OR_INCONSISTENT,images/img2842-image-map-tynemouth-to-carlow.jpg,fragments/1828/04/17-b5-img2842-image-map-tynemouth-to-carlow,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
226,1828-08-01,ORPHAN_OR_INCONSISTENT,images/img2852-image-black-middens.jpg,fragments/1828/08/01-b-img2852-image-black-middens,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
233,1828-08-07,ORPHAN_OR_INCONSISTENT,images/img2852-image-hope-voyage.jpg,fragments/1828/08/07-b-img2852-image-hope-voyage,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
257,1828-08-30,ORPHAN_OR_INCONSISTENT,images/img2855-image-appuldurcombe-house.jpg,fragments/1828/08/30-b1-img2855-image-appuldurcombe-house,IMAGE,DATABASE_EMBEDDED_IMAGE,KEEP_ABSENT,,DEFERRED_IMAGE_MIGRATION
