source_key,date,place_after,planning_order,proposed_sequence
fragments/1829/06/30-img2895-right,1829-06-30,fragments/1829/06/30-img2895-left,3,3
fragments/1829/07/02-img2896-right,1829-07-02,fragments/1829/07/02-img2896-left,2,1.5
fragments/1829/07/02-img2897-right,1829-07-02,fragments/1829/07/02-img2897-left,4,3
fragments/1829/07/05-img2899-right,1829-07-05,fragments/1829/07/05-img2899-left,2,2
fragments/1829/07/07-img2900-right,1829-07-07,fragments/1829/07/07-img2900-left,6,6
fragments/1829/07/08-img2901-right,1829-07-08,fragments/1829/07/08-img2901-left,6,6
fragments/1829/07/09-img2902-right,1829-07-09,fragments/1829/07/09-img2902-left,3,3
fragments/1829/07/11-img2903-right,1829-07-11,fragments/1829/07/11-img2903-left,3,3
fragments/1829/07/15-img2905-right,1829-07-15,fragments/1829/07/15-img2905-left,2,2
fragments/1829/07/16-img2906-right,1829-07-16,fragments/1829/07/16-img2906-left,2,2
fragments/1829/07/23-img2908-right,1829-07-23,fragments/1829/07/23-img2908-left,2,2
fragments/1829/08/05-img2911-right,1829-08-05,fragments/1829/08/05-img2911-left,2,2
fragments/1829/08/08-img2912-right,1829-08-08,fragments/1829/08/08-img2912-left,2,2
fragments/1829/08/15-img2914-right,1829-08-15,fragments/1829/08/15-img2914-left,2,2
fragments/1829/08/20-img2915-right,1829-08-20,fragments/1829/08/20-img2915-left,2,2
fragments/1829/08/22-img2916-right,1829-08-22,fragments/1829/08/22-img2916-left,2,2
fragments/1829/08/28-img2918-right,1829-08-28,fragments/1829/08/28-img2918-left,2,2
fragments/1829/09/11-img2921-right,1829-09-11,fragments/1829/09/11-img2921-left,2,2
fragments/1829/09/14-img2922-right,1829-09-14,fragments/1829/09/14-img2922-left,2,2
fragments/1829/09/18-img2923-right,1829-09-18,fragments/1829/09/18-img2923-left,2,2
fragments/1832/06/27-m3-img3018-murder-of-nicholas-fairles-image,1832-06-27,fragments/1832/06/27-m3-img3018-murder-of-nicholas-fairles,2,1.5
fragments/1834/07/08-img2712-right,1834-07-08,fragments/1834/07/08-img2712-left,2,2
fragments/1834/11/13-img2723-right,1834-11-13,fragments/1834/11/13-img2723-left,2,2
