plan_key,operation,database_fragment_id,source_key,date,sequence,planning_order,page_id,marquee_action,source_html_sha256,target_text_md5,expected_version,expected_text_md5
database:241,UPDATE_EXISTING_FROM_SOURCE,241,fragments/1828/08/14-img2853-right,1828-08-14,2,2,705,KEEP_EXISTING,cba091d84ec7d012dd261471890a0580f18a8acf36654582df98a2b3be5b0df3,7cddba93d8a36f12f9afc6cbcf890ba7,7,03b3acf968a6d3db6c0c9054e25a1460
database:566,UPDATE_EXISTING_FROM_SOURCE,566,fragments/1829/06/20-img2889-right,1829-06-20,1,1,741,KEEP_EXISTING,a41fe1b9faf9d37cf8bf9a70253a945474295021f7fdc133b4ec7f7c6dc1f869,cb2269f86054079dbc29cf3eebb0d115,1,2d80c47326647105959328f371f8bfd0
database:567,UPDATE_EXISTING_FROM_SOURCE,567,fragments/1829/06/20-img2890-right,1829-06-20,3,3,742,KEEP_EXISTING,0e7f8c05dbfc42c1db5f3014cc7b69a27f2d2726c3085c5e4409667a25046e5a,86f250b36db68f22cc619f4928736087,3,374d7caa2eb9e9c3f8bb9371efc68288
database:568,UPDATE_EXISTING_FROM_SOURCE,568,fragments/1829/06/20-img2891-left,1829-06-20,4,4,743,KEEP_EXISTING,6cd9200fc617b53d7e99c5a2cc90d91164919b6cc5f6c348b0be837d90fe0974,9187f77d6aa58755efd29337f1bdb06f,2,acf6ce3f98ed85a211459fa20cf57768
database:574,UPDATE_EXISTING_FROM_SOURCE,574,fragments/1829/06/25-img2892-right,1829-06-25,2,2,744,KEEP_EXISTING,98ba4467f9220e17811f148c5b604a1960b463f6e6520e969b5d93d73386b96a,fe78663066343061888ba72eaf44ea8e,2,ea9cde3a08dcc6d44a56ac64fc341275
database:577,UPDATE_EXISTING_FROM_SOURCE,577,fragments/1829/06/26-img2893-left,1829-06-26,3,3,745,KEEP_EXISTING,eff83dd5e1f508ff6d7439c24eee4135921d93a6cb8bc47288a61896cd4003f3,5ed2ab019264c23c315c721ed865455a,1,beb904bbf86390475663d795fc64b1ab
database:1738,UPDATE_EXISTING_FROM_SOURCE,1738,fragments/1832/06/27-m3-img3018-murder-of-nicholas-fairles,1832-06-27,1,1,,KEEP_ABSENT,d89fe5ac3ae9427ef2f8d5f371b3c08cc586512e1dd08b58cc212b8ba5a63bd2,b30ce79ab85e105ecf86512dd1fe5719,0,6074f6c06632e4cf157c1d5a0b17f9e5
database:2299,UPDATE_EXISTING_FROM_SOURCE,2299,fragments/1828/08/14-img2853-left,1828-08-14,1,1,705,KEEP_EXISTING,22f073f038e43571c235011d7728e2122d52b6556c7e75e932d5fff862e3e218,f4c286526ad9b8c1c6d0cda02154317c,13,e018f3449821cd8bac1d66593b4b21bc
database:2300,UPDATE_EXISTING_FROM_SOURCE,2300,fragments/1829/01/08-img2868-right,1829-01-08,2,2,720,KEEP_EXISTING,dc6702144e5894eb8d64f47ef560f3f781069f77e2e855e35306aea86ed55283,30719d0fcc496e53968d150a63d9445f,7,eed0866b1d6c8d9166667c588dec8c44
database:2301,UPDATE_EXISTING_FROM_SOURCE,2301,fragments/1829/04/16-img2878-left-continuation,1829-04-16,2,2,730,KEEP_EXISTING,e4fa7c33a7e5169fa16f94dc167290814a438a027513a308825ed8f3685adf28,7633a0e92c867c6170aaae345c0e9878,3,606e92d4a37f0f4558057182fb31c120
