source_key,source_type,status,database_fragment_id,date,diary,page_name,place_after,image_relative_path,database_sequence,reason
"fragments/1828/01/01-dc-highlights-1828","LEGACY","MATCHED_EXACT","1","1828-01-01","","","","","3.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/01-dn-img2832-introduction-1","LEGACY","MATCHED_EXACT","2","1828-01-01","","","","","4.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/01-do-img2832-introduction-2","LEGACY","MATCHED_EXACT","3","1828-01-01","","","","","5.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/01-img2833-right","LEGACY","MATCHED_EXACT","4","1828-01-01","diary-1828-and-1829-and-jan-1830","img2833","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/01-img2834-left","LEGACY","MATCHED_EXACT","5","1828-01-01","diary-1828-and-1829-and-jan-1830","img2834","","","2.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/02-img2834-right","LEGACY","MATCHED_EXACT","6","1828-01-02","diary-1828-and-1829-and-jan-1830","img2834","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/03-img2834-right","LEGACY","MATCHED_EXACT","7","1828-01-03","diary-1828-and-1829-and-jan-1830","img2834","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/04-img2834-right","LEGACY","MATCHED_EXACT","8","1828-01-04","diary-1828-and-1829-and-jan-1830","img2834","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/05-img2834-right","LEGACY","MATCHED_EXACT","9","1828-01-05","diary-1828-and-1829-and-jan-1830","img2834","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/06-img2835-left","LEGACY","MATCHED_EXACT","10","1828-01-06","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/07-img2835-left","LEGACY","MATCHED_EXACT","11","1828-01-07","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/08-img2835-left","LEGACY","MATCHED_EXACT","12","1828-01-08","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/09-img2835-left","LEGACY","MATCHED_EXACT","13","1828-01-09","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/10-img2835-left","LEGACY","MATCHED_EXACT","14","1828-01-10","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/11-img2835-left","LEGACY","MATCHED_EXACT","15","1828-01-11","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/12-img2835-right","LEGACY","MATCHED_EXACT","16","1828-01-12","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/13-img2835-right","LEGACY","MATCHED_EXACT","17","1828-01-13","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/14-img2835-right","LEGACY","MATCHED_EXACT","18","1828-01-14","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/15-img2835-right","LEGACY","MATCHED_EXACT","19","1828-01-15","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
"fragments/1828/01/16-img2835-right","LEGACY","MATCHED_EXACT","20","1828-01-16","diary-1828-and-1829-and-jan-1830","img2835","","","1.0000","date, Page context and imported HTML hash match"
