database_fragment_id,status,possible_source_key,date,diary,page_name,sequence,reason
"1","MATCHED_EXACT","fragments/1828/01/01-dc-highlights-1828","1828-01-01","","","3.0000","exact source match"
"2","MATCHED_EXACT","fragments/1828/01/01-dn-img2832-introduction-1","1828-01-01","","","4.0000","exact source match"
"3","MATCHED_EXACT","fragments/1828/01/01-do-img2832-introduction-2","1828-01-01","","","5.0000","exact source match"
"4","MATCHED_EXACT","fragments/1828/01/01-img2833-right","1828-01-01","diary-1828-and-1829-and-jan-1830","img2833","1.0000","exact source match"
"5","MATCHED_EXACT","fragments/1828/01/01-img2834-left","1828-01-01","diary-1828-and-1829-and-jan-1830","img2834","2.0000","exact source match"
"6","MATCHED_EXACT","fragments/1828/01/02-img2834-right","1828-01-02","diary-1828-and-1829-and-jan-1830","img2834","1.0000","exact source match"
"7","MATCHED_EXACT","fragments/1828/01/03-img2834-right","1828-01-03","diary-1828-and-1829-and-jan-1830","img2834","1.0000","exact source match"
"8","MATCHED_EXACT","fragments/1828/01/04-img2834-right","1828-01-04","diary-1828-and-1829-and-jan-1830","img2834","1.0000","exact source match"
"9","MATCHED_EXACT","fragments/1828/01/05-img2834-right","1828-01-05","diary-1828-and-1829-and-jan-1830","img2834","1.0000","exact source match"
"10","MATCHED_EXACT","fragments/1828/01/06-img2835-left","1828-01-06","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"11","MATCHED_EXACT","fragments/1828/01/07-img2835-left","1828-01-07","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"12","MATCHED_EXACT","fragments/1828/01/08-img2835-left","1828-01-08","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"13","MATCHED_EXACT","fragments/1828/01/09-img2835-left","1828-01-09","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"14","MATCHED_EXACT","fragments/1828/01/10-img2835-left","1828-01-10","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"15","MATCHED_EXACT","fragments/1828/01/11-img2835-left","1828-01-11","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"16","MATCHED_EXACT","fragments/1828/01/12-img2835-right","1828-01-12","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"17","MATCHED_EXACT","fragments/1828/01/13-img2835-right","1828-01-13","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"18","MATCHED_EXACT","fragments/1828/01/14-img2835-right","1828-01-14","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"19","MATCHED_EXACT","fragments/1828/01/15-img2835-right","1828-01-15","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"20","MATCHED_EXACT","fragments/1828/01/16-img2835-right","1828-01-16","diary-1828-and-1829-and-jan-1830","img2835","1.0000","exact source match"
"21","MATCHED_EXACT","fragments/1828/01/17-img2836-left","1828-01-17","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"22","MATCHED_EXACT","fragments/1828/01/18-img2836-left","1828-01-18","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"23","MATCHED_EXACT","fragments/1828/01/19-img2836-left","1828-01-19","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"24","MATCHED_EXACT","fragments/1828/01/20-img2836-left","1828-01-20","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"25","MATCHED_EXACT","fragments/1828/01/21-img2836-left","1828-01-21","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"26","MATCHED_EXACT","fragments/1828/01/22-img2836-right","1828-01-22","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"27","MATCHED_EXACT","fragments/1828/01/23-img2836-right","1828-01-23","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"28","MATCHED_EXACT","fragments/1828/01/24-img2836-right","1828-01-24","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"29","MATCHED_EXACT","fragments/1828/01/25-img2836-right","1828-01-25","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"30","MATCHED_EXACT","fragments/1828/01/26-img2836-right","1828-01-26","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"31","MATCHED_EXACT","fragments/1828/01/27-img2836-right","1828-01-27","diary-1828-and-1829-and-jan-1830","img2836","1.0000","exact source match"
"32","MATCHED_EXACT","fragments/1828/01/28-img2837-left","1828-01-28","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"33","MATCHED_EXACT","fragments/1828/01/29-img2837-left","1828-01-29","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"34","MATCHED_EXACT","fragments/1828/01/30-img2837-left","1828-01-30","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"35","MATCHED_EXACT","fragments/1828/01/31-img2837-left","1828-01-31","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"36","MATCHED_EXACT","fragments/1828/02/01-img2837-left","1828-02-01","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"37","MATCHED_EXACT","fragments/1828/02/02-img2837-left","1828-02-02","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"38","MATCHED_EXACT","fragments/1828/02/03-img2837-right","1828-02-03","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"39","MATCHED_EXACT","fragments/1828/02/04-img2837-right","1828-02-04","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"40","MATCHED_EXACT","fragments/1828/02/05-img2837-right","1828-02-05","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"41","MATCHED_EXACT","fragments/1828/02/06-img2837-right","1828-02-06","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
"42","MATCHED_EXACT","fragments/1828/02/07-img2837-right","1828-02-07","diary-1828-and-1829-and-jan-1830","img2837","1.0000","exact source match"
